No.,Time,Source,Destination,Protocol,Length,Info
8020,0.108695,115.170.0.201,0.3.117.70,TCP,44,1078  >  80 [ACK] Seq=1 Ack=1 Win=16475 Len=0
8024,0.108751,3.150.43.198,236.67.149.58,TCP,64,55928  >  21 [SYN] Seq=0 Win=5840 Len=0 MSS=1460[Packet size limited during capture]
8045,0.108978,0.2.254.188,227.95.148.2,TCP,1504,80  >  39625 [ACK] Seq=4294965849 Ack=1 Win=24616 Len=1448[Packet size limited during capture]
8185,0.110677,162.76.163.84,0.180.230.101,TCP,44,1214  >  4421 [ACK] Seq=1 Ack=1 Win=16398 Len=0
8301,0.111926,3.3.2.184,238.102.225.220,TCP,56,"4768  >  80 [FIN, ACK] Seq=1 Ack=59 Win=65535 Len=0[Packet size limited during capture]"
8470,0.114001,252.227.244.174,243.160.16.7,DNS,139,Standard query response 0x5c67[Packet size limited during capture]
8655,0.116376,236.170.101.81,241.201.117.144,TCP,52,2523  >  80 [SYN] Seq=0 Win=23360 Len=0 MSS=1460[Packet size limited during capture]
8659,0.116429,243.27.115.204,241.46.237.40,TCP,44,1119  >  80 [ACK] Seq=1 Ack=1 Win=64860 Len=0
8682,0.11674,227.247.15.149,240.39.221.47,TCP,1504,"[TCP Retransmission] 2189  >  1142 [PSH, ACK] Seq=4294965837 Ack=1 Win=7395 Len=1460[Packet size limited during capture]"
8688,0.116881,227.247.180.177,115.33.109.203,TCP,164,"2189  >  1108 [PSH, ACK] Seq=1 Ack=1 Win=8487 Len=120[Packet size limited during capture]"
8718,0.117247,1.78.241.105,238.109.212.228,TCP,183,"25  >  2770 [PSH, ACK] Seq=1 Ack=1 Win=16616 Len=127[Packet size limited during capture]"
8761,0.117982,0.63.76.239,227.195.70.63,TCP,44,"80  >  1113 [FIN, ACK] Seq=1 Ack=1 Win=24656 Len=0"
8986,0.120236,237.179.4.164,115.47.43.246,TCP,52,"6699  >  65084 [PSH, ACK] Seq=1 Ack=1 Win=8760 Len=8"
9096,0.121798,3.248.179.240,3.131.88.67,IPv4,215,"Fragmented IP protocol (proto=UDP 17, off=1480, ID=26a1)"
9098,0.12185,227.247.100.73,3.142.97.48,TCP,1504,80  >  4649 [ACK] Seq=1 Ack=22 Win=17520 Len=1460[Packet size limited during capture]
9194,0.123097,3.3.155.79,236.64.95.252,TCP,44,1323  >  80 [ACK] Seq=1 Ack=1 Win=17118 Len=0
9222,0.123554,3.3.115.145,2.164.30.234,TCP,1504,80  >  2299 [ACK] Seq=10545 Ack=1 Win=24820 Len=1460
9238,0.123736,237.241.216.70,241.46.218.121,TCP,44,1343  >  80 [ACK] Seq=1 Ack=2921 Win=64240 Len=0
9715,0.129562,237.22.33.235,227.137.183.227,TCP,445,"65479  >  80 [PSH, ACK] Seq=1 Ack=1 Win=65535 Len=389[Packet size limited during capture]"
9738,0.129952,3.248.179.244,3.131.87.58,TCP,825,"1755  >  17328 [PSH, ACK] Seq=1 Ack=1 Win=16562 Len=781[Packet size limited during capture]"
9799,0.130826,69.59.59.196,0.180.4.226,TCP,359,"4662  >  4611 [PSH, ACK] Seq=626 Ack=4326 Win=17280 Len=315[Packet size limited during capture]"
9862,0.131982,238.45.232.6,2.164.22.178,TCP,1504,80  >  16771 [ACK] Seq=11681 Ack=1 Win=6432 Len=1460
9955,0.133192,3.248.121.134,115.12.162.71,TCP,1504,4923  >  6346 [ACK] Seq=732 Ack=6351 Win=33304 Len=1448[Packet size limited during capture]
10036,0.134151,3.3.242.130,69.1.126.199,TCP,52,"80  >  2752 [SYN, ACK] Seq=0 Ack=1 Win=5840 Len=0 MSS=1460[Packet size limited during capture]"
10050,0.134462,238.129.41.54,140.140.251.253,DNS,273,Standard query response 0xe45b[Packet size limited during capture]
10121,0.135316,115.203.92.162,0.3.117.50,TCP,52,2911  >  80 [SYN] Seq=0 Win=8192 Len=0 MSS=1460[Packet size limited during capture]
10281,0.137528,244.97.76.229,162.131.209.252,TCP,580,80  >  34913 [ACK] Seq=26185 Ack=1 Win=8576 Len=536[Packet size limited during capture]
10407,0.138914,3.150.43.198,236.67.149.248,TCP,64,56003  >  21 [SYN] Seq=0 Win=5840 Len=0 MSS=1460[Packet size limited during capture]
10465,0.139664,87.231.23.201,162.139.205.253,TCP,44,4094  >  3128 [ACK] Seq=1 Ack=1 Win=17520 Len=0
10617,0.141695,0.157.132.109,238.109.212.239,TCP,56,25  >  2897 [ACK] Seq=242 Ack=11144 Win=65500 Len=0[Packet size limited during capture]
10677,0.142231,245.137.158.150,162.131.209.252,TCP,44,"[TCP Previous segment not captured] 80  >  40770 [FIN, ACK] Seq=486 Ack=1 Win=32120 Len=0"
10788,0.143834,3.3.241.146,238.217.239.46,TCP,1504,[TCP Retransmission] 10350  >  6082 [ACK] Seq=2921 Ack=1 Win=8760 Len=1460[Packet size limited during capture]
10849,0.144725,69.241.53.178,236.245.38.52,TCP,269,"5001  >  3391 [PSH, ACK] Seq=1 Ack=1 Win=15861 Len=225[Packet size limited during capture]"
10957,0.146128,3.3.241.155,2.167.223.187,TCP,1204,"30138  >  8478 [PSH, ACK] Seq=1 Ack=1 Win=8760 Len=1160[Packet size limited during capture]"
10969,0.146285,227.247.98.231,3.142.98.83,TCP,56,80  >  4977 [ACK] Seq=1 Ack=131 Win=33304 Len=0[Packet size limited during capture]
10970,0.146322,0.2.254.93,143.69.82.193,TCP,586,"80  >  1301 [PSH, ACK] Seq=1 Ack=1 Win=25848 Len=542"
11122,0.148427,227.247.165.153,227.212.126.104,TCP,348,"2189  >  1031 [PSH, ACK] Seq=1 Ack=1 Win=7880 Len=304[Packet size limited during capture]"
11320,0.150831,237.21.36.63,0.3.117.180,TCP,44,2318  >  80 [ACK] Seq=1 Ack=2921 Win=8760 Len=0
12010,0.160293,227.179.55.245,143.69.106.160,TCP,261,"80  >  1159 [PSH, ACK] Seq=1 Ack=1 Win=6432 Len=217[Packet size limited during capture]"
12246,0.163164,239.187.83.185,115.49.252.97,TCP,817,"1755  >  3832 [PSH, ACK] Seq=6614 Ack=1 Win=16752 Len=773[Packet size limited during capture]"
12259,0.163324,1.174.191.108,140.136.233.233,TCP,1504,80  >  2071 [ACK] Seq=2921 Ack=1 Win=32120 Len=1460
12285,0.163642,239.187.112.86,238.88.132.79,TCP,580,80  >  1463 [ACK] Seq=537 Ack=1 Win=6432 Len=536[Packet size limited during capture]
12293,0.163692,236.123.28.38,242.5.13.158,TCP,44,6699  >  3493 [ACK] Seq=9 Ack=621 Win=64915 Len=0
12316,0.164034,237.225.129.140,115.42.247.74,TCP,1504,8000  >  32476 [ACK] Seq=1 Ack=1 Win=17520 Len=1460[Packet size limited during capture]
12378,0.16478,69.252.247.228,0.3.117.181,TCP,56,3045  >  80 [ACK] Seq=1 Ack=1 Win=31856 Len=0[Packet size limited during capture]
12433,0.165769,3.3.241.157,3.58.101.171,TCP,1412,[TCP Previous segment not captured] 10204  >  1684 [ACK] Seq=4265 Ack=1 Win=9576 Len=1368[Packet size limited during capture]
12609,0.168326,245.50.53.244,0.3.117.180,TCP,44,3669  >  80 [ACK] Seq=1 Ack=11681 Win=17520 Len=0
12748,0.16995,69.100.180.94,3.176.187.198,TCP,241,"2000  >  1043 [PSH, ACK] Seq=1 Ack=1 Win=16814 Len=197[Packet size limited during capture]"
12787,0.170478,3.3.131.245,238.15.182.4,TCP,556,80  >  1032 [ACK] Seq=1 Ack=1 Win=24576 Len=512
12823,0.170937,157.193.227.112,157.202.195.188,TCP,580,80  >  1703 [ACK] Seq=537 Ack=1 Win=57352 Len=536[Packet size limited during capture]
12903,0.172008,238.110.28.234,227.221.235.123,TCP,1104,[TCP Previous segment not captured] 510  >  15485 [ACK] Seq=8481 Ack=1 Win=17520 Len=1060[Packet size limited during capture]
12942,0.17272,239.187.83.162,249.161.225.198,TCP,44,51264  >  80 [ACK] Seq=170 Ack=29962 Win=21900 Len=0
12974,0.173048,3.196.40.131,162.137.10.39,TCP,1504,80  >  1544 [ACK] Seq=1 Ack=1 Win=17520 Len=1460[Packet size limited during capture]
12984,0.173144,227.231.32.58,161.187.186.19,TCP,44,80  >  1234 [ACK] Seq=1 Ack=1 Win=31824 Len=0
13038,0.173713,0.63.102.100,107.18.226.123,TCP,1504,"80  >  6142 [PSH, ACK] Seq=23169 Ack=1 Win=31856 Len=1448[Packet size limited during capture]"
13149,0.175103,3.3.120.122,239.66.108.246,TCP,1458,80  >  2010 [ACK] Seq=19797 Ack=1 Win=16146 Len=1414
13306,0.177087,225.201.120.230,241.46.219.188,TCP,56,4907  >  80 [ACK] Seq=1 Ack=5841 Win=17520 Len=0[Packet size limited during capture]
13374,0.178249,227.139.14.161,238.14.220.192,TCP,580,80  >  1841 [ACK] Seq=537 Ack=1 Win=6432 Len=536
13555,0.180351,3.3.49.46,69.1.53.24,TCP,580,80  >  65024 [ACK] Seq=525 Ack=1 Win=33012 Len=524[Packet size limited during capture]
13611,0.181203,3.172.0.22,227.198.144.208,TCP,44,3658  >  80 [ACK] Seq=1 Ack=2 Win=16560 Len=0
13622,0.181438,249.136.206.74,3.176.200.165,TCP,44,58696  >  6348 [ACK] Seq=1 Ack=1 Win=32679 Len=0
13640,0.181705,225.203.161.126,241.46.185.161,TCP,44,2731  >  80 [RST] Seq=1 Win=0 Len=0
13904,0.184983,3.195.250.22,3.12.185.207,TCP,44,80  >  21169 [ACK] Seq=1 Ack=282 Win=6656 Len=0
13997,0.186542,3.248.26.37,1.47.42.217,TCP,309,"6347  >  2896 [PSH, ACK] Seq=1 Ack=1 Win=58080 Len=265[Packet size limited during capture]"
14063,0.187334,244.238.113.164,241.8.239.100,TCP,44,1115  >  6699 [ACK] Seq=9 Ack=621 Win=8140 Len=0
14073,0.187429,227.231.29.176,115.227.168.25,TCP,44,80  >  13098 [ACK] Seq=219 Ack=2 Win=32120 Len=0
14081,0.187603,237.231.34.227,115.32.208.131,TCP,64,4662  >  4243 [ACK] Seq=1 Ack=1 Win=7860 Len=0[Packet size limited during capture]
14131,0.188263,236.227.183.230,241.46.218.115,TCP,132,"13910  >  80 [PSH, ACK] Seq=605 Ack=1 Win=17520 Len=76[Packet size limited during capture]"
14138,0.188319,237.13.241.245,115.40.66.175,TCP,1220,"1076  >  6699 [PSH, ACK] Seq=11113 Ack=1 Win=23358 Len=1176[Packet size limited during capture]"
14171,0.188639,245.58.53.125,0.3.117.180,TCP,44,4630  >  80 [ACK] Seq=1 Ack=1 Win=8760 Len=0
14227,0.189306,239.187.74.45,238.181.227.206,TCP,52,"80  >  1193 [SYN, ACK] Seq=0 Ack=1 Win=5840 Len=0 MSS=1460[Packet size limited during capture]"
14268,0.189946,225.101.182.3,162.132.78.141,HTTP,103,Continuation[Packet size limited during capture]
14270,0.189962,244.209.179.152,115.33.235.168,TCP,44,3067  >  6699 [ACK] Seq=1 Ack=5365 Win=15700 Len=0
14361,0.191157,3.195.251.45,3.170.242.65,UDP,104,1716  >  4587 Len=72
14436,0.192047,238.223.139.242,115.32.223.90,UDP,642,7860  >  6972 Len=610
14608,0.194106,239.186.68.138,3.231.230.106,TCP,1504,80  >  4573 [ACK] Seq=1461 Ack=1 Win=58400 Len=1460[Packet size limited during capture]
14843,0.196992,3.248.26.239,227.127.26.221,TCP,48,"80  >  1944 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1460"
14886,0.197402,159.154.217.232,2.166.81.233,UDP,764,12203  >  12203 Len=732
14931,0.197981,3.150.43.198,236.67.149.158,TCP,64,56100  >  21 [SYN] Seq=0 Win=5840 Len=0 MSS=1460[Packet size limited during capture]
15027,0.199271,227.247.15.153,1.44.208.36,TCP,122,"2189  >  1034 [PSH, ACK] Seq=92 Ack=1 Win=7685 Len=78[Packet size limited during capture]"
15104,0.200376,237.237.3.240,238.180.135.208,TCP,710,"6699  >  64462 [PSH, ACK] Seq=1415 Ack=1 Win=15688 Len=666[Packet size limited during capture]"
15276,0.202782,3.3.5.145,248.50.245.58,TCP,1424,[TCP Retransmission] 1755  >  64126 [ACK] Seq=4294964537 Ack=1 Win=15600 Len=1380[Packet size limited during capture]
15302,0.203275,71.197.196.229,164.34.212.15,TCP,44,1169  >  80 [ACK] Seq=352 Ack=4999 Win=17520 Len=0
15320,0.203643,3.3.132.7,3.130.21.154,TCP,1504,80  >  4092 [ACK] Seq=21901 Ack=1 Win=65535 Len=1460
15513,0.206328,227.247.110.67,1.36.41.29,TCP,1424,80  >  1422 [ACK] Seq=4141 Ack=1 Win=63891 Len=1380
15697,0.208514,238.57.42.32,241.110.64.60,TCP,1424,80  >  8256 [ACK] Seq=66917 Ack=1 Win=29063 Len=1380[Packet size limited during capture]
15887,0.211013,227.216.50.74,241.84.157.231,TCP,44,2004  >  80 [ACK] Seq=428 Ack=215 Win=16347 Len=0
15921,0.211454,237.249.146.254,3.96.154.61,UDP,67,1214  >  1214 Len=35
15972,0.212118,237.222.109.173,115.49.122.51,TCP,100,"4021  >  2171 [PSH, ACK] Seq=1 Ack=1 Win=40550 Len=44[Packet size limited during capture]"
16039,0.213123,3.3.128.162,227.186.113.125,TCP,1504,80  >  4837 [ACK] Seq=4381 Ack=1 Win=17170 Len=1460[Packet size limited during capture]
16081,0.213649,243.144.2.20,0.3.117.37,TCP,44,"47799  >  80 [FIN, ACK] Seq=370 Ack=310 Win=33580 Len=0"
16093,0.213814,0.2.255.195,115.53.33.213,TCP,1504,[TCP Retransmission] 80  >  3586 [ACK] Seq=4294965837 Ack=1 Win=24820 Len=1460
16248,0.216261,238.109.233.231,137.142.241.173,TCP,44,"80  >  1043 [FIN, ACK] Seq=1 Ack=1 Win=16080 Len=0"
16409,0.218146,3.150.43.198,236.67.150.18,TCP,64,56145  >  21 [SYN] Seq=0 Win=5840 Len=0 MSS=1460[Packet size limited during capture]
16488,0.219121,3.208.96.239,252.136.109.244,TCP,1504,80  >  41573 [ACK] Seq=36501 Ack=1 Win=6432 Len=1460
16507,0.219347,236.35.204.78,0.3.117.181,TCP,44,62718  >  80 [ACK] Seq=1 Ack=2921 Win=17520 Len=0
16557,0.220081,227.231.11.183,238.26.109.238,TCP,580,80  >  1201 [ACK] Seq=537 Ack=1 Win=6432 Len=536[Packet size limited during capture]
16676,0.221981,227.247.110.67,4.114.166.165,TCP,52,"80  >  3483 [SYN, ACK] Seq=0 Ack=1 Win=64240 Len=0 MSS=1380[Packet size limited during capture]"
16700,0.222545,238.83.225.232,238.116.229.0,TCP,93,"3277  >  1056 [PSH, ACK] Seq=1 Ack=1 Win=16564 Len=49[Packet size limited during capture]"
16813,0.224387,238.255.72.240,3.131.65.229,TCP,580,80  >  2167 [ACK] Seq=1 Ack=1 Win=16616 Len=536[Packet size limited during capture]
17000,0.226726,69.10.138.3,140.141.156.187,TCP,56,57404  >  80 [ACK] Seq=1 Ack=1 Win=17520 Len=0[Packet size limited during capture]
17064,0.22762,236.147.153.190,161.187.19.247,DNS,540,Standard query response 0x42ff[Packet size limited during capture]
17238,0.229387,71.61.184.22,238.109.212.180,TCP,44,1153  >  80 [ACK] Seq=1 Ack=390 Win=8576 Len=0
17283,0.22987,237.228.234.248,115.53.246.234,TCP,347,"6699  >  1278 [PSH, ACK] Seq=1062 Ack=965 Win=64111 Len=303[Packet size limited during capture]"
17539,0.233484,0.3.198.213,249.241.103.137,TCP,247,"1755  >  3257 [PSH, ACK] Seq=1461 Ack=1 Win=16320 Len=203[Packet size limited during capture]"
17647,0.234881,225.205.225.217,115.35.165.178,UDP,166,5555  >  5555 Len=134
17898,0.238021,240.23.166.16,238.109.212.180,TCP,44,1108  >  80 [ACK] Seq=1 Ack=1 Win=8280 Len=0
18008,0.23917,237.45.178.14,115.42.247.76,TCP,56,80  >  1626 [ACK] Seq=218 Ack=1 Win=7504 Len=0[Packet size limited during capture]
